A is -0.15; B is 0; C is 0
A is -0.15; B is 0; C is 0
A is -0.15; B is 0; C is 0
A is -0.15; B is 0; C is 0
A is -0.15; B is 0; C is 0
A is -0.15; B is 0; C is 0
A is -0.15; B is 0; C is 0
A is -0.15; B is 0; C is 0
A is -0.15; B is 0; C is 0
A is -0.15; B is 0; C is 0
A is -0.15; B is 0; C is 0
A is -0.15; B is 0; C is 0
A is -0.15; B is 0; C is 0
A is -0.15; B is 0; C is 0
A is -0.15; B is 0; C is 0
A is -0.15; B is 0; C is 0
A is -0.15; B is 0; C is 0
A is -0.15; B is 0; C is 0
A is -0.15; B is 0; C is 0
A is -0.15; B is 0; C is 0
A is -0.15; B is 0; C is 0
A is -0.15; B is 0; C is 0
A is -0.15; B is 0; C is 0
A is -0.15; B is 0; C is 0
A is -0.15; B is 0; C is 0
A is -0.15; B is 0; C is 0
A is -0.15; B is 0; C is 0
A is -0.15; B is 0; C is 0
A is -0.15; B is 0; C is 0
A is -0.15; B is 0; C is 0
A is -0.15; B is 0; C is 0
A is -0.15; B is 0; C is 0
A is -0.15; B is 0; C is 0
A is -0.15; B is 0; C is 0
A is -0.15; B is 0; C is 0
A is -0.15; B is 0; C is 0
A is -0.15; B is 0; C is 0
